PlanningAlgorithm,goalNumber,distanceTravelled,totalAngleTurned,timeForPath,plannerQueueLength,plannerCellsVisited,plannerPathCardinality,plannerPathCost,plannerAngleTurned
A* Algorithm (Heuristic: Octile),1,23.446234330349405,273.49991232708174,172.50571608543396,119,919,92,105.30366756278436,225.0
A* Algorithm (Heuristic: Octile),2,28.812070108175785,4738.068974773462,225.55266189575195,263,3852,103,130.7584783290288,765.0
A* Algorithm (Heuristic: Octile),3,18.082681214711695,705.2758690710164,134.39687705039978,179,851,68,82.00222019793698,270.0
A* Algorithm (Heuristic: Octile),4,12.540527507054067,398.10741955926295,97.1571729183197,118,565,47,56.9476703671621,270.0
A* Algorithm (Heuristic: Octile),5,13.88145967331293,596.1493073931749,115.883948802948,142,889,52,63.04634747124753,450.0
A* Algorithm (Heuristic: Octile),6,16.37081744918515,298.9303083655844,119.14150404930115,123,1190,64,74.23049281501784,135.0
A* Algorithm (Heuristic: Octile),7,20.36205800549822,526.3356767291507,156.28554606437683,275,1423,80,92.25320886440062,360.0
A* Algorithm (Heuristic: Manhattan),1,23.467722816214923,288.89566351515236,173.54709911346436,136,656,92,105.30366756278436,225.0
A* Algorithm (Heuristic: Manhattan),2,29.0068838333223,16021.815298039555,201.83642315864563,623,3564,115,131.21132188377211,90.0
A* Algorithm (Heuristic: Manhattan),3,18.16056412951574,445.741127225037,135.63835501670837,210,828,68,82.00222019793698,315.0
A* Algorithm (Heuristic: Manhattan),4,12.548791107594976,364.82741197708805,97.10027408599854,184,286,47,56.9476703671621,225.0
A* Algorithm (Heuristic: Manhattan),5,13.988183057679162,336.4308210796418,105.50256705284119,272,465,52,63.04634747124753,180.0
A* Algorithm (Heuristic: Manhattan),6,16.383666201757563,253.28211250379258,118.3661060333252,271,854,64,74.23049281501785,90.0
A* Algorithm (Heuristic: Manhattan),7,20.318266961517818,486.34046316109993,155.15182495117188,188,650,80,92.2532088644006,315.0
Breadth First (FIFO),1,0.204054686013027,0.0003069584577627961,1.5960650444030762,8,8,2,1.1264197530864197,0
