PlanningAlgorithm,mapName,numberOfCellsVisited,maximumLengthOfQueue,totalAngleTurned,pathTravelCost,pathCardinality
Breadth First (FIFO),empty,2917,109,180.91714331600295,71.2183357896362,46
Depth First (LIFO),empty,4255,1648,459.23511558183606,359.0901011896535,256
Greedy Planner,empty,180,136,268.5311992856142,60.02045566195582,46
Dijkstra's,empty,2980,150,226.04873826018334,60.020455661955815,46
A* Algorithm (Heuristic: 0),empty,2980,150,226.04873826018334,60.020455661955815,46
A* Algorithm (Heuristic: Euclidean),empty,1047,220,243.90139797735426,60.020455661955815,46
A* Algorithm (Heuristic: Octile),empty,945,203,226.04873826018334,60.020455661955815,46
A* Algorithm (Heuristic: Manhattan),empty,300,205,268.5311992856142,60.02045566195582,46
A* Algorithm (Heuristic: Constant = 20),empty,2980,149,226.04873826018334,60.020455661955815,46
A* Algorithm (Heuristic: Constant = 5),empty,2980,149,226.04873826018334,60.020455661955815,46
A* Algorithm (Heuristic: Constant = 1),empty,2980,150,226.04873826018334,60.020455661955815,46
Breadth First (FIFO),empty_terrain,2917,109,180.91714331600295,84.07663534416047,46
Depth First (LIFO),empty_terrain,4255,1648,459.23511558183606,423.4226827233806,256
Greedy Planner,empty_terrain,180,136,268.5311992856142,72.22370207410346,46
Dijkstra's,empty_terrain,2738,199,179.99999999999997,64.74542235464152,46
A* Algorithm (Heuristic: 0),empty_terrain,2738,199,179.99999999999997,64.74542235464152,46
A* Algorithm (Heuristic: Euclidean),empty_terrain,1121,251,179.99999999999997,64.74542235464152,46
A* Algorithm (Heuristic: Octile),empty_terrain,1038,250,179.99999999999997,64.74542235464152,46
A* Algorithm (Heuristic: Manhattan),empty_terrain,611,11695,206.1218469565418,65.66625398164625,46
A* Algorithm (Heuristic: Constant = 20),empty_terrain,2738,199,179.99999999999997,64.74542235464152,46
A* Algorithm (Heuristic: Constant = 5),empty_terrain,2738,199,179.99999999999997,64.74542235464152,46
A* Algorithm (Heuristic: Constant = 1),empty_terrain,2738,199,179.99999999999997,64.74542235464152,46
Breadth First (FIFO),lines,3271,127,183.36096504789862,94.0200461142383,65
Depth First (LIFO),lines,3135,1803,3080.9774044540063,1531.8760447941136,1090
Greedy Planner,lines,357,213,183.3802500621529,102.75808887605604,74
Dijkstra's,lines,3420,111,273.3609650478986,90.28741940501149,65
A* Algorithm (Heuristic: 0),lines,3420,111,273.3609650478986,90.28741940501149,65
A* Algorithm (Heuristic: Euclidean),lines,1826,282,199.172884546542,90.28741940501148,65
A* Algorithm (Heuristic: Octile),lines,1632,228,273.36096504789856,90.28741940501148,65
A* Algorithm (Heuristic: Manhattan),lines,780,256,183.3802500621529,90.28741940501148,65
A* Algorithm (Heuristic: Constant = 20),lines,3420,111,273.3609650478986,90.28741940501149,65
A* Algorithm (Heuristic: Constant = 5),lines,3420,111,273.3609650478986,90.28741940501149,65
A* Algorithm (Heuristic: Constant = 1),lines,3420,111,273.3609650478986,90.28741940501149,65
Breadth First (FIFO),lines_terrain,3271,127,183.36096504789862,131.09712018799365,65
Depth First (LIFO),lines_terrain,3135,1803,3080.9774044540063,2041.0217153304986,1090
Greedy Planner,lines_terrain,357,213,183.3802500621529,137.93106162221633,74
Dijkstra's,lines_terrain,3522,145,238.77162350945574,103.3703132936622,72
A* Algorithm (Heuristic: 0),lines_terrain,3522,145,238.77162350945574,103.3703132936622,72
A* Algorithm (Heuristic: Euclidean),lines_terrain,1919,289,238.77162350945574,103.3703132936622,72
A* Algorithm (Heuristic: Octile),lines_terrain,1775,289,238.77162350945574,103.3703132936622,72
A* Algorithm (Heuristic: Manhattan),lines_terrain,1292,340,238.79090852371,103.37031329366222,72
A* Algorithm (Heuristic: Constant = 20),lines_terrain,3522,145,238.77162350945574,103.3703132936622,72
A* Algorithm (Heuristic: Constant = 5),lines_terrain,3522,145,238.77162350945574,103.3703132936622,72
A* Algorithm (Heuristic: Constant = 1),lines_terrain,3522,145,238.77162350945574,103.3703132936622,72
Breadth First (FIFO),square_terrain,2254,81,180.62684347379457,265.60708709406845,52
Depth First (LIFO),square_terrain,1523,878,1659.670972219878,1995.7641541065245,523
Greedy Planner,square_terrain,201,120,194.03961634818302,244.5578211882627,61
Dijkstra's,square_terrain,2391,83,237.0484801923478,109.34441791807197,91
A* Algorithm (Heuristic: 0),square_terrain,2391,83,237.0484801923478,109.34441791807197,91
A* Algorithm (Heuristic: Euclidean),square_terrain,1826,197,216.87017351392672,109.34441791807197,91
A* Algorithm (Heuristic: Manhattan),square_terrain,1352,321,207.7466712707352,109.38609655498031,91
A* Algorithm (Heuristic: Constant = 20),square_terrain,2391,83,237.0484801923478,109.34441791807197,91
A* Algorithm (Heuristic: Constant = 5),square_terrain,2391,83,237.0484801923478,109.34441791807197,91
A* Algorithm (Heuristic: Constant = 1),square_terrain,2391,83,237.0484801923478,109.34441791807197,91
A* Algorithm (Heuristic: Octile),square_terrain,1739,162,211.66504910892706,109.34441791807197,91
A* Algorithm (Heuristic: Octile),Test1,945,203,226.04873826018334,60.020455661955815,46
